Material ID,Formula,Crystal System,Sites,Energy Above Hull,Formation Energy,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
mp-680606,Th2Co7,Hexagonal,36,0.037335506,-0.074933196,532.5758438,10.93284761,0,False,True,FM,0.2546778
mp-1513,Co9S8,Cubic,17,0,-0.439116766,229.3578023,5.697252597,0,False,True,NM,2.00E-07
mp-22745,Co9Se8,Cubic,17,0.088942311,-0.199138281,267.5635139,7.212034043,0,False,True,NM,7.75E-05
mp-30559,LaCo13,Cubic,28,0,-0.018662682,351.6933801,8.546361055,0,False,True,FiM,44.4660173
mp-1105544,Sm2Co17,Trigonal,19,0,-0.046255435,246.7409799,8.766246058,0,False,True,FiM,25.5662573
mp-1105572,Ce2Co17,Trigonal,19,0.011873361,-0.062082866,245.3259802,8.6781311,0,False,True,FiM,23.0382367
mp-1105621,Pr2Co17,Trigonal,19,0,-0.001834214,247.0117548,8.629549439,0,False,True,FiM,28.5011804
mp-1106070,Dy2Co17,Trigonal,19,0,-0.074714449,241.6007792,9.119631312,0,False,True,FiM,25.6207405
mp-1106140,Y2Co17,Trigonal,19,0,-0.067291432,242.6654334,8.072423341,0,False,True,FiM,25.6151939
mp-1106216,Ho2Co17,Trigonal,19,0.000367979,-0.078139629,239.7264522,9.224602847,0,False,True,FiM,25.5848945
mp-1189067,Tb2Co17,Trigonal,19,0,-0.070512017,242.776073,9.026582861,0,False,True,FiM,25.6115098
mp-16932,Th2Co17,Trigonal,19,0.01786956,-0.061865569,243.5410132,9.995241989,0,False,True,FiM,25.9639504
mp-356,Nd2Co17,Trigonal,19,0,-0.019605616,245.0486222,8.743872002,0,False,True,FiM,28.4276204
mp-1023,Ho2Co17,Hexagonal,38,0,-0.078507608,479.8203914,9.217537868,0,False,True,FiM,50.4351661
mp-1195194,Np2Co17,Hexagonal,38,0.024252537,-0.000877422,443.7912221,11.04451927,0,False,True,FiM,33.2242159
mp-1196360,Tm2Co17,Hexagonal,38,0,-0.086974546,457.8282308,9.718398279,0,False,True,FiM,50.867034
mp-1199370,Tb2Co17,Hexagonal,38,0.000283031,-0.070228986,465.8560888,9.408220229,0,False,True,FiM,50.9804303
mp-1200096,Sm2Co17,Hexagonal,38,0.002825848,-0.043429587,472.2361957,9.160636828,0,False,True,FiM,50.9824485
mp-1201816,Gd2Co17,Hexagonal,38,0.723885286,0.691082227,467.8995065,9.34334976,0,False,True,FiM,50.7213123
mp-1204082,Lu2Co17,Hexagonal,38,0,-0.09089376,473.2448492,9.486480057,0,False,True,FiM,50.2871193
mp-2216,Ce2Co17,Hexagonal,38,0.166218842,0.092262615,485.8718515,8.763508368,0,False,True,FiM,1.1252352
mp-2531,Er2Co17,Hexagonal,38,0,-0.084132105,470.1961303,9.439103807,0,False,True,FiM,56.1778103
mp-568820,Pu2Co17,Hexagonal,38,0.326370647,0.29488415,480.9110258,10.28871357,0,False,True,AFM,0.7437404
mp-569638,Dy2Co17,Hexagonal,38,0.000984212,-0.073730237,483.5391871,9.113263577,0,False,True,FiM,50.8175817
mp-570718,Y2Co17,Hexagonal,38,0.001917594,-0.065373838,488.4849619,8.020300568,0,False,True,FiM,51.1211505
mp-1190965,Pr5Co19,Trigonal,24,0.024221379,0.022598458,358.9216926,8.439918596,0,False,True,FiM,24.092167
mp-1191158,Nd5Co19,Trigonal,24,0.109722371,0.090753954,355.3801812,8.60192583,0,False,True,FiM,0.3967587
mp-1191306,Sm5Co19,Trigonal,24,0.039380543,-0.023639737,345.1424367,9.004253085,0,False,True,FiM,14.2917101
mp-542327,Ce5Co19,Trigonal,24,0.018928945,-0.127442753,338.6514275,8.925688167,0,False,True,FiM,17.5111303
mp-1197433,Sm5Co19,Hexagonal,48,0.033787588,-0.029232692,688.1947855,9.031599529,0,False,True,FiM,26.8183794
mp-1192795,Hf6Co23,Cubic,29,0,-0.219458956,369.9402154,10.89132138,0,False,True,FiM,32.6167211
mp-30569,Zr6Co23,Cubic,29,0,-0.201584607,377.9924639,8.359124763,0,False,True,FiM,32.588662
mp-639154,Co23B6,Cubic,29,0.033665963,-0.089447522,278.9994645,8.453466394,0,False,True,FM,35.1610391
